,tf values
2015,47
probability,34
statistics,33
university,32
soyturk,31
marmara,31
mujdat,31
spring,30
data,27
frequency,16
variables,16
quantitative,15
50,14
relative,14
measured,12
measurements,11
25,10
experimental,10
variable,9
unit,9
1111,9
70,8
graphs,8
bar,8
14,7
example,7
12,7
16,6
time,6
single,6
histograms,5
discrete,5
10,5
43,5
65,5
qualitative,5
class,5
stem,5
set,5
right,5
34,5
outliers,5
chart,5
types,5
skewed,5
18,5
26,5
two,4
subinterval,4
pie,4
