,tf values
thread,31
void,19
bir,19
mutex,15
main,14
int,14
pthread,13
printf,12
pthreadt,12
include,11
ba,10
threadid,10
working,8
null,8
threadroutine,8
de,7
threadresult,7
ge,7
alõ,7
pthreadcreate,6
da,6
durumuna,6
threadõin,6
pthreadmutext,5
return,5
ka,5
tid,5
er,5
arg,5
olarak,4
verilen,4
consumer,4
daha,4
parametre,4
hazõr,4
olu,4
pthreadjoin,4
ile,4
stdio,4
ya,4
shareddata,4
lab4,4
rnek,4
alan,4
newly,4
sonra,4
produced,4
yeni,4
beklemesi,3
kullanõlõr,3
