,tf values
testing,172
10,101
quality,100
inspecting,93
high,85
chapter,83
test,78
defects,54
system,43
defect,33
software,29
cases,27
one,22
equivalence,21
algorithms,19
case,17
client,17
number,17
run,16
possible,16
code,16
time,15
tests,15
phase,15
simplechat,15
classes,15
using,14
server,14
failure,14
process,13
strategies,13
strategy,13
must,13
program,12
tester,12
result,12
use,12
work,11
example,11
user,11
inspection,11
instructions,11
design,11
input,11
conditions,10
large,10
value,10
inspect,10
ordinary,10
level,10
